[ 2.74727091        -inf        -inf]
[ 1.84054963 -1.70181123 -5.63363687]
[ 1.75726321 -4.78061886 -5.84326217]
[  1.71739505  -4.78061886 -33.12396071]
[ 1.1442228  -2.89629838 -6.84528278]
[ 0.86288996 -3.95024422 -7.01374731]
[ 0.76552192 -5.62553028 -8.26845547]
[  0.72270598  -5.62553028 -35.18360238]
[  0.65490614  -6.11307168 -10.68867043]
[  0.58217297  -6.11307168 -44.31341034]
[  0.57097955  -6.11307168 -31.19471526]
[  0.54920464  -7.37775891 -10.55568761]
[  0.53062825  -7.37775891 -44.46460379]
[ 0.61200268 -6.04797676 -9.92414625]
[  0.68725071  -6.04797676 -44.31341034]
[  0.75612198  -6.04797676 -34.85552815]
[  0.83895863  -5.82019283 -11.53841599]
[  0.91188544  -5.82019283 -33.62160941]
[  0.98207847  -5.82019283 -34.04419952]
[ 1.16627094 -3.83506196 -7.20169867]
[ 1.07840958 -4.64153783 -6.79816901]
[ 1.22964055 -4.44754124 -7.56026745]
[ 1.44220199 -4.18101294 -9.60388573]
[  1.61880673  -4.31291145 -10.38283386]
[  1.73871025  -4.31291145 -33.54407089]
[  1.85155462  -4.4969566  -10.20697107]
[  1.92570744  -4.4969566  -33.20088731]
[ 1.26129787 -2.53469731 -6.14086462]
[ 1.11841492 -4.56168507 -6.48261435]
[ 1.1568812  -6.01208383 -8.24285816]
[ 1.49962305 -2.78215817 -5.86704483]
[ 0.86288996 -3.22360397 -6.25586176]
[ 1.11889304 -4.4632896  -7.06371321]
[  1.32560209  -4.4632896  -34.03354326]
[  1.44926916  -4.4632896  -35.35296198]
[ 1.20785998 -4.21740465 -7.76679587]
[  1.05082162  -4.21740465 -32.89333425]
[ 0.93805222 -5.29831737 -8.7427123 ]
[  0.89199804  -5.29831737 -41.95173633]
[ 1.39325984 -3.66468473 -7.61348958]
[  1.59938758  -3.66468473 -33.09627192]
[ 1.32158651 -3.92802335 -7.20543725]
[  1.31103188  -3.92802335 -27.39161795]
[ 1.65057986 -3.58351894 -7.03684539]
[ 1.74221902 -4.47733681 -7.89380167]
[ 1.36353737 -3.41954652 -7.12883485]
[ 1.10194008 -3.32423634 -8.94100744]
[ 0.98581679 -3.99903438 -6.92644741]
[ 1.31372367 -3.13883312 -5.96406557]
[ 1.42551507 -3.86550299 -6.84406746]
[ 1.60542989 -3.66418684 -8.83177144]
[ 0.77273524 -3.07615384 -6.74528292]
[ -0.08338161  -3.07615384 -33.25834212]
[-0.26039811 -6.01297075 -7.24152008]
[ -0.37106368  -6.01297075 -36.94371176]
[-0.27099665 -6.73340189 -9.7273917 ]
[ -0.23572233  -6.73340189 -36.62659448]
[ -0.23572233         -inf -10.84427576]
[-0.23572233        -inf        -inf]
[ -0.22293524  -8.69951475 -12.81038861]
[ -0.21072103  -8.69951475 -36.20827955]
[-0.13926207 -6.24739792 -9.77143141]
[ -0.10536052  -6.83876241 -10.3860783 ]
[-0.21072103 -6.07150725 -9.35370134]
[-0.18632958 -7.34601021 -9.25897046]
[-0.30110509 -5.74015012 -8.88943588]
[-0.27443685 -7.24422752 -8.87168393]
[-0.03005763 -5.65313874 -9.97526723]
[  2.95588022e-02  -5.65313874e+00  -3.39905347e+01]
[-0.03071379 -6.9201778  -9.51585308]
[ -0.05129329  -6.9201778  -34.73743429]
[ -0.10749044  -7.06902343 -13.00939709]
[ -0.13926207  -7.06902343 -38.04152367]
[-0.02020271 -5.70378247 -8.97290019]
[-0.12783337 -4.94164242 -7.1977075 ]
[-0.04082199 -5.85793315 -7.9373747 ]
[-0.07257069 -6.83876241 -8.87168393]
[ 0.17395331 -4.67927816 -7.90228338]
[ 0.01980263 -5.10416135 -7.50837909]
[ 3.23671574        -inf        -inf]
[ 2.8094027   1.08180517 -0.01680712]
[ 1.19588133 -1.53985698 -3.1207879 ]
[  0.70309751  -1.53985698 -29.57340228]
[ 0.2390169  -3.42317629 -4.84032543]
[ 0.48858001 -3.66070858 -5.4808164 ]
[ 0.70050466 -5.06598539 -8.05301627]
[  0.71294981  -5.06598539 -30.60274605]
[-0.09316323 -4.00584176 -7.83553729]
[ -0.19845094  -4.00584176 -31.6813911 ]
[ 0.06765865 -4.78749174 -7.0302134 ]
[ 0.66782937 -3.42367024 -7.01479378]
[ 0.87546874 -4.13071221 -7.43531756]
[ 0.65232519 -4.06617369 -6.73697971]
[ 0.60976557 -5.85793315 -7.58069975]
[  0.55388511  -5.6347896  -10.57643203]
[ 0.51879379 -6.10924758 -9.90407561]
[  0.46373402  -5.77524144 -10.40149221]
[ 0.28517894 -4.67927816 -8.41827492]
[ 0.46373402 -4.67927816 -7.31833549]
[ 1.07840958 -3.31081332 -7.21542783]
[ 0.57661336 -3.10967653 -5.77014578]
[ 0.74193734 -4.43527115 -6.16993156]
[ 0.76546784 -6.32793678 -7.93078271]
[ 0.69813472 -5.33340869 -8.38596826]
[ 0.69813472        -inf -8.62924555]
[ 0.57661336 -4.80188048 -8.13408499]
[  0.39877612  -4.79322242 -13.10216067]
[ 0.73236789 -3.85983725 -6.8604239 ]
[ 0.41871033 -3.91202301 -6.52464708]
[ 0.79299252 -3.92641174 -6.78139238]
[ 0.77472717 -6.55108034 -7.18865766]
[ 0.78390154 -7.24422752 -9.47781974]
[ 0.67803354 -5.04048826 -8.46213783]
[ 0.18232156 -1.35997705 -2.48412264]
[ 0.9242589  -2.9804648  -4.43758522]
[ 0.85866162 -5.23377885 -6.28177114]
[ 0.51879379 -3.88217004 -7.67819413]
[ 0.41210965 -5.06779371 -7.54265002]
[ 0.39204209 -6.87385373 -8.61457536]
[ 0.40546511 -7.20785987 -9.62966581]
[ 0.47000363 -5.66988092 -9.27901244]
[ 0.26236426 -4.49980967 -7.52535621]
[ 0.47000363 -4.57126863 -7.20904964]
[ 0.41210965 -5.74015012 -7.6329009 ]
[ 0.5068176  -5.2293245  -8.09152538]
[ 0.43825493 -5.53947942 -8.01148267]
[ 0.27763174 -4.80188048 -8.78467256]
[ 0.35065687 -5.6347896  -7.77307164]
[ 0.59332685 -4.27381305 -7.90228338]
[ 0.49469624 -5.10416135 -7.24422752]
[ 0.52472853 -6.32793678 -8.17853675]
[ 0.45107562 -5.99146455 -9.32366906]
[ 5.66296048        -inf        -inf]
[ 5.74300319 -0.11778304 -3.4136199 ]
[ 5.67332327  0.84729786 -1.02715332]
[ 4.93447393  3.41444261  1.72514472]
[ 2.4765384   3.05321471  0.42925397]
[ 1.141033   -0.46772052  0.38413955]
[ 1.19392247 -4.07454193 -2.74352935]
[ 1.19088756 -7.60090246 -7.04128667]
[ 0.71294981 -2.41591378 -5.06058685]
[ 0.95165788 -3.3058872  -4.77990157]
[ 0.36464311 -3.19244257 -5.88661437]
[ 0.29266961 -5.52146092 -6.51378455]
[  0.23111172  -5.66122286 -10.69383706]
[ 0.25464222 -6.55108034 -8.36164914]
[  0.2125736   -7.06190596 -10.20821109]
[  0.20701417  -7.06190596 -30.61874344]
[-0.32850407 -3.61778353 -6.59467626]
[ 0.05826891 -5.13925267 -7.48069557]
[ 0.39877612 -3.4830274  -6.33386565]
[ 0.3852624  -7.46737107 -7.01994176]
[ 0.84156719 -3.82608058 -7.46376155]
[ 0.99694863 -3.24419363 -6.36513288]
[ 0.97832612 -6.25382881 -6.45415769]
[ 1.41342303 -2.76393066 -5.86937689]
[ 1.96290773 -2.26535575 -6.56760447]
[ 2.12345843 -3.21887582 -6.1860974 ]
[ 3.7565381       -inf       -inf]
[ 3.77276094 -3.96759286 -7.57851077]
[ 1.68454538  1.15557007 -1.32339711]
[ 0.84156719 -1.51737977 -1.55503509]
[ 0.96698385 -3.81024031 -4.06023895]
[ 0.45742485 -3.35240722 -6.26339826]
[ 0.20701417 -4.09434456 -7.04355682]
[ 0.18349275 -7.66544098 -8.23374651]
[  0.18232156  -7.66544098 -39.64292068]
[-0.05129329 -4.27666612 -7.20137056]
[ 0.         -5.29831737 -6.27176651]
[-1.23787436        -inf        -inf]
[ -0.98191326  -6.58076916 -10.69164302]
[ -0.78132145  -6.58076916 -37.73293736]
[ -0.61176193  -6.58076916 -37.74990748]
[ -0.46682775  -6.58076916 -45.47656115]
[ -0.33831793  -6.58076916 -37.79934003]
[ -0.22619533  -6.58076916 -37.78225942]
[ -0.12538635  -6.58076916 -44.88877448]
[ -3.66887101e-02  -6.58076916e+00  -3.70065477e+01]
[  0.04742722  -6.58076916 -34.86135003]
[  0.12501336  -6.58076916 -33.5501614 ]
[  0.19814905  -6.58076916 -33.40309971]
[  0.26523538  -6.58076916 -35.27930011]
[  0.32810269  -6.58076916 -33.55020505]
[  0.38536558  -6.58076916 -33.98350385]
[  0.4413118   -6.58076916 -34.53661689]
[  0.45107562  -6.58076916 -34.23400331]
[  0.42398739  -7.28196784 -10.28885455]
[  0.39568196  -7.28196784 -33.82234901]
[  0.36702857  -7.28196784 -33.80608849]
[  0.36464311  -7.28196784 -31.27189182]
[  0.40696059  -6.88755257 -10.48316621]
[  0.43178242  -6.88755257 -34.58164611]
[  0.50317002  -6.28281635 -11.18382966]
[  0.53649337  -6.28281635 -32.65816578]
[ 0.47261501 -6.35692432 -9.73691068]
[  0.43178242  -6.35692432 -34.86955658]
[  0.42303872  -8.42288251 -10.6032707 ]
[  0.41871033  -8.42288251 -32.80770442]
[  0.41871033         -inf -12.5500169 ]
[ 0.41871033        -inf        -inf]
[ 0.54304328 -5.71414526 -9.82501913]
[  0.60976557  -5.71414526 -33.61057224]
[ 0.41755293 -5.24482868 -8.86993042]
[  0.3074847   -5.24482868 -33.46910482]
[ 0.43995128 -5.7578497  -8.88652162]
[  0.55690535  -5.7578497  -33.55018389]
[  0.65833778  -5.7578497  -33.1876574 ]
[  0.75340022  -5.7578497  -34.49225874]
[  0.78845736  -5.7578497  -32.32966855]
[  0.82730338  -6.55108034 -10.47089896]
[  0.84586827  -6.55108033 -32.9836054 ]
[ 0.84586827        -inf -7.24422752]
[  0.83403209  -7.70751219 -11.81838606]
[  0.82855182  -7.70751219 -32.84563069]
[  0.78622853  -6.48208746 -10.95684214]
[  0.76080583  -6.48208746 -33.03907096]
[ 0.9357242  -5.00477017 -8.9100543 ]
[  0.99694863  -5.00477017 -34.18635391]
[ 1.19044878 -4.65809259 -9.9966626 ]
[  1.28923265  -4.65809259 -34.40931117]
[ 1.38638364 -5.10416135 -9.79100597]
[  1.42069579  -5.10416135 -32.53200149]
[  1.54461999  -4.73192189 -10.02762715]
[  1.58514522  -4.73192189 -34.25207149]
[ 1.51103725 -5.16478597 -8.3428398 ]
[  1.47247206  -5.16478597 -33.67672511]
[ 1.68314853 -4.08864654 -7.9061726 ]
[  1.8115621   -4.08864654 -33.31879449]
[ 1.8115621         -inf  3.65013863]
[ 1.93787798 -3.95478486 -7.71598498]
[ 1.93730177  3.84862669  3.65013863]
[ 2.03751423 -4.42351022 -0.26199167]
[  2.12716443  -4.42351022 -33.75700186]
[  2.13428478  -4.42351022 -39.24702503]
[ 2.13416644  3.84862669  3.65013863]
[ 2.09433942 -5.2197646  -0.26236243]
[  2.0727945  -5.2197646 -33.1123034]
[ 2.07317193  4.01863274  2.74586769]
[ 2.28033948 -3.5065579  -0.0927806 ]
[  2.28645571  -3.5065579  -36.56495031]
[ 2.38894626 -3.6775157  -9.09482748]
[ 2.38876279  3.84862669  3.65013863]
[ 2.43185743 -4.75932087 -0.17654237]
[  2.48710572  -4.54718293 -10.31276993]
[  2.49237866  -4.54718293 -27.25449434]
[ 2.63075486 -3.49295225 -7.99890679]
[  2.66095859  -3.49295225 -28.94752163]
[ 2.52699843 -3.52636052 -6.92724356]
[  2.51041194  -3.52636052 -27.69633543]
[ 2.76111692 -2.85597033 -6.55373574]
[  2.80032548  -2.85597033 -38.91155229]
[ 2.6003     -3.01820513 -6.351528  ]
[  2.59301339  -3.01820513 -25.88391336]
[ 0.53062825        -inf        -inf]
[ 0.72996115 -5.07517382 -9.16951838]
[  0.83290912  -5.07517382 -42.39976105]
[ 0.77524628 -6.15979986 -8.89485066]
[  0.71405387  -6.15979986 -33.55018124]
[  0.69314718  -6.15979986 -31.93423101]
[  0.5630385   -5.52146092 -10.38346922]
[ 0.41343328 -5.52146092        -inf]
[  0.40546511  -5.52146092 -41.30114876]
[ 0.48046848 -6.22455843 -9.19683904]
[  0.53062825  -6.22455843 -34.0480639 ]
[ 0.46732912 -6.37161185 -9.71311117]
[  0.40546511  -6.37161185 -33.77645985]
[  0.40546511         -inf -10.48248571]
[ 0.40546511        -inf        -inf]
[  0.37368332  -7.17011954 -11.28099341]
[  0.3419517   -7.17011954 -33.6625633 ]
[  0.33647224  -7.17011954 -31.06676307]
[  0.40982241  -6.35001274 -10.09597643]
[ 0.47815806 -6.35001274        -inf]
[  0.54313639  -6.35001274 -36.08420437]
[  0.58778666  -6.35001274 -33.93339284]
[ 1.25255887 -3.58066587 -7.75629475]
[  1.65372817  -3.58066587 -33.90932591]
[  1.74046617  -3.58066587 -33.73675775]
[ 2.14006616 -2.46688814 -6.36136348]
[ 0.43178242 -1.27869635 -4.23154397]
[ 0.18232156 -4.63415772 -4.86956099]
[ 0.         -4.82831374 -9.5876346 ]
